[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-27 19:45:02,317: Logging to: logs/2017_Oct_27/OpenCVCamera/19_45_02.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-27 19:45:08,621: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:09,475: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:12,504: received 90 messages in 3 seconds. 91 received in total (avg=8.9 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:45:15,531: received 91 messages in 3 seconds. 182 received in total (avg=13.8 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-27 19:45:17,261: [log buffer start]
[DEBUG, 1509147911.8040934]: ImageMessage(t=1509147911.8040814, n=69)
[DEBUG, 1509147911.836846]: ImageMessage(t=1509147911.8368344, n=70)
[DEBUG, 1509147911.8726635]: ImageMessage(t=1509147911.8726532, n=71)
[DEBUG, 1509147911.9277623]: ImageMessage(t=1509147911.9277513, n=72)
[DEBUG, 1509147911.9585564]: ImageMessage(t=1509147911.9585493, n=73)
[DEBUG, 1509147911.970939]: ImageMessage(t=1509147911.9709325, n=74)
[DEBUG, 1509147912.012803]: ImageMessage(t=1509147912.0127923, n=75)
[DEBUG, 1509147912.037515]: ImageMessage(t=1509147912.0375059, n=76)
[DEBUG, 1509147912.0723755]: ImageMessage(t=1509147912.0723643, n=77)
[DEBUG, 1509147912.1051674]: ImageMessage(t=1509147912.1051574, n=78)
[DEBUG, 1509147912.1360464]: ImageMessage(t=1509147912.1360343, n=79)
[DEBUG, 1509147912.1697628]: ImageMessage(t=1509147912.1697545, n=80)
[DEBUG, 1509147912.2043009]: ImageMessage(t=1509147912.2042909, n=81)
[DEBUG, 1509147912.2370431]: ImageMessage(t=1509147912.2370353, n=82)
[DEBUG, 1509147912.2715142]: ImageMessage(t=1509147912.2715034, n=83)
[DEBUG, 1509147912.3045852]: ImageMessage(t=1509147912.304574, n=84)
[DEBUG, 1509147912.339683]: ImageMessage(t=1509147912.339671, n=85)
[DEBUG, 1509147912.381175]: ImageMessage(t=1509147912.3811662, n=86)
[DEBUG, 1509147912.3995242]: ImageMessage(t=1509147912.3995187, n=87)
[DEBUG, 1509147912.4364016]: ImageMessage(t=1509147912.4363897, n=88)
[DEBUG, 1509147912.4680665]: ImageMessage(t=1509147912.46806, n=89)
[DEBUG, 1509147912.504418]: ImageMessage(t=1509147912.5044062, n=90)
[DEBUG, 1509147912.5342464]: ImageMessage(t=1509147912.5342398, n=91)
[DEBUG, 1509147912.5717275]: ImageMessage(t=1509147912.5717158, n=92)
[DEBUG, 1509147912.611558]: ImageMessage(t=1509147912.6115472, n=93)
[DEBUG, 1509147912.6375084]: ImageMessage(t=1509147912.637499, n=94)
[DEBUG, 1509147912.675663]: ImageMessage(t=1509147912.675575, n=95)
[DEBUG, 1509147912.7042701]: ImageMessage(t=1509147912.7042596, n=96)
[DEBUG, 1509147912.7518523]: ImageMessage(t=1509147912.7518415, n=97)
[DEBUG, 1509147912.7774112]: ImageMessage(t=1509147912.777405, n=98)
[DEBUG, 1509147912.8022916]: ImageMessage(t=1509147912.802282, n=99)
[DEBUG, 1509147912.8375158]: ImageMessage(t=1509147912.8375065, n=100)
[DEBUG, 1509147912.8754017]: ImageMessage(t=1509147912.8753915, n=101)
[DEBUG, 1509147912.9059803]: ImageMessage(t=1509147912.9059699, n=102)
[DEBUG, 1509147912.9333472]: ImageMessage(t=1509147912.9333417, n=103)
[DEBUG, 1509147912.971596]: ImageMessage(t=1509147912.971586, n=104)
[DEBUG, 1509147913.0004332]: ImageMessage(t=1509147913.000423, n=105)
[DEBUG, 1509147913.0356128]: ImageMessage(t=1509147913.0356035, n=106)
