[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-27 19:45:02,318: Logging to: logs/2017_Oct_27/OpenCVRecorder/19_45_02.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-27 19:45:02,318: Initialized video recorder. Path set to: videos/2017_Oct_27/BabyBuggy/19_45_02.avi
[OpenCVRecorder @ node.py:71][INFO] 2017-10-27 19:45:09,475: received 0 messages in 3 seconds. 0 received in total (avg=0.0 messages/sec)
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-27 19:45:10,361: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-27 19:45:10,361: Writing to 'videos/2017_Oct_27/BabyBuggy/19_45_02.avi'. width = 640, height = 480, fps = 30.272360667073617
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-27 19:45:10,362: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-27 19:45:10,497: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-27 19:45:12,572: received 89 messages in 3 seconds. 89 received in total (avg=8.7 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-27 19:45:15,590: received 92 messages in 3 seconds. 181 received in total (avg=13.6 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-27 19:45:16,629: [log buffer start]
[DEBUG, 1509147909.4757345]: Recording frame #0. Delay: 0.0008285045623779297
[DEBUG, 1509147909.5741029]: Recording frame #1. Delay: 0.071441650390625
[DEBUG, 1509147909.5742164]: Recording frame #2. Delay: 0.032654762268066406
[DEBUG, 1509147909.5743175]: Recording frame #3. Delay: 0.000743865966796875
[DEBUG, 1509147909.6503901]: Recording frame #4. Delay: 0.04270815849304199
[DEBUG, 1509147909.650462]: Recording frame #5. Delay: 0.012822628021240234
[DEBUG, 1509147909.7393696]: Recording frame #6. Delay: 0.06952261924743652
[DEBUG, 1509147909.739459]: Recording frame #7. Delay: 0.03374648094177246
[DEBUG, 1509147909.7395139]: Recording frame #8. Delay: 0.0016493797302246094
[DEBUG, 1509147909.8608325]: Recording frame #9. Delay: 0.08852362632751465
[DEBUG, 1509147909.860924]: Recording frame #10. Delay: 0.05110812187194824
[DEBUG, 1509147909.860978]: Recording frame #11. Delay: 0.019129514694213867
[DEBUG, 1509147909.976779]: Recording frame #12. Delay: 0.1069033145904541
[DEBUG, 1509147909.9768984]: Recording frame #13. Delay: 0.07164621353149414
[DEBUG, 1509147909.9769719]: Recording frame #14. Delay: 0.03562116622924805
[DEBUG, 1509147909.9770405]: Recording frame #15. Delay: 0.0033538341522216797
[DEBUG, 1509147910.0424383]: Recording frame #16. Delay: 0.0389554500579834
[DEBUG, 1509147910.0425515]: Recording frame #17. Delay: 0.000606536865234375
[DEBUG, 1509147910.1427312]: Recording frame #18. Delay: 0.06872868537902832
[DEBUG, 1509147910.1428525]: Recording frame #19. Delay: 0.03288745880126953
[DEBUG, 1509147910.1429398]: Recording frame #20. Delay: 0.0007472038269042969
[DEBUG, 1509147910.2378018]: Recording frame #21. Delay: 0.06372523307800293
[DEBUG, 1509147910.2378643]: Recording frame #22. Delay: 0.027916431427001953
[DEBUG, 1509147910.237906]: Recording frame #23. Delay: 0.0007178783416748047
[DEBUG, 1509147910.3612475]: Recording frame #24. Delay: 0.08713960647583008
[DEBUG, 1509147910.3613417]: Recording frame #25. Delay: 0.05112338066101074
[DEBUG, 1509147910.4975998]: Recording frame #26. Delay: 0.15551447868347168
[DEBUG, 1509147910.5348113]: Recording frame #27. Delay: 0.026290416717529297
[DEBUG, 1509147910.5410528]: Recording frame #28. Delay: 0.025309085845947266
[DEBUG, 1509147910.5494292]: Recording frame #29. Delay: 0.027304649353027344
[DEBUG, 1509147910.556402]: Recording frame #30. Delay: 0.028141021728515625
[DEBUG, 1509147910.5630336]: Recording frame #31. Delay: 0.028470516204833984
[DEBUG, 1509147910.6969175]: Recording frame #32. Delay: 0.12188148498535156
[DEBUG, 1509147910.7020452]: Recording frame #33. Delay: 0.09629583358764648
[DEBUG, 1509147910.7080286]: Recording frame #34. Delay: 0.06672787666320801
[DEBUG, 1509147910.715099]: Recording frame #35. Delay: 0.03886914253234863
[DEBUG, 1509147910.8052695]: Recording frame #36. Delay: 0.07520055770874023
[DEBUG, 1509147910.8134587]: Recording frame #37. Delay: 0.07453751564025879
[DEBUG, 1509147910.8227425]: Recording frame #38. Delay: 0.049541473388671875
[DEBUG, 1509147910.8314166]: Recording frame #39. Delay: 0.026643037796020508
[DEBUG, 1509147910.9034932]: Recording frame #40. Delay: 0.053830623626708984
[DEBUG, 1509147910.910036]: Recording frame #41. Delay: 0.03894639015197754
[DEBUG, 1509147910.9157376]: Recording frame #42. Delay: 0.012748479843139648
[DEBUG, 1509147911.0055413]: Recording frame #43. Delay: 0.06752634048461914
[DEBUG, 1509147911.0141296]: Recording frame #44. Delay: 0.04118967056274414
[DEBUG, 1509147911.025648]: Recording frame #45. Delay: 0.020616769790649414
[DEBUG, 1509147911.1414976]: Recording frame #46. Delay: 0.09942078590393066
[DEBUG, 1509147911.153043]: Recording frame #47. Delay: 0.08037638664245605
[DEBUG, 1509147911.1630518]: Recording frame #48. Delay: 0.06194424629211426
[DEBUG, 1509147911.1737587]: Recording frame #49. Delay: 0.03282737731933594
[DEBUG, 1509147911.2732322]: Recording frame #50. Delay: 0.07747197151184082
[DEBUG, 1509147911.2825208]: Recording frame #51. Delay: 0.07587194442749023
[DEBUG, 1509147911.2931137]: Recording frame #52. Delay: 0.05475187301635742
[DEBUG, 1509147911.3016849]: Recording frame #53. Delay: 0.028948545455932617
[DEBUG, 1509147911.37279]: Recording frame #54. Delay: 0.05129694938659668
[DEBUG, 1509147911.385573]: Recording frame #55. Delay: 0.045323848724365234
[DEBUG, 1509147911.3956466]: Recording frame #56. Delay: 0.02341008186340332
[DEBUG, 1509147911.5064876]: Recording frame #57. Delay: 0.09172630310058594
[DEBUG, 1509147911.5160308]: Recording frame #58. Delay: 0.07482337951660156
[DEBUG, 1509147911.524182]: Recording frame #59. Delay: 0.053212881088256836
[DEBUG, 1509147911.5312781]: Recording frame #60. Delay: 0.025485754013061523
[DEBUG, 1509147911.641425]: Recording frame #61. Delay: 0.09136247634887695
[DEBUG, 1509147911.649682]: Recording frame #62. Delay: 0.07653403282165527
[DEBUG, 1509147911.6583633]: Recording frame #63. Delay: 0.05087780952453613
[DEBUG, 1509147911.6671097]: Recording frame #64. Delay: 0.0261688232421875
[DEBUG, 1509147911.7350652]: Recording frame #65. Delay: 0.0457453727722168
[DEBUG, 1509147911.7449045]: Recording frame #66. Delay: 0.027116775512695312
[DEBUG, 1509147911.7564907]: Recording frame #67. Delay: 0.021923542022705078
[DEBUG, 1509147911.8731503]: Recording frame #68. Delay: 0.0982503890991211
[DEBUG, 1509147911.8832066]: Recording frame #69. Delay: 0.07912778854370117
[DEBUG, 1509147911.894477]: Recording frame #70. Delay: 0.057643890380859375
[DEBUG, 1509147911.903286]: Recording frame #71. Delay: 0.030635595321655273
[DEBUG, 1509147911.9713566]: Recording frame #72. Delay: 0.04360651969909668
[DEBUG, 1509147911.9788885]: Recording frame #73. Delay: 0.02034163475036621
[DEBUG, 1509147911.9891813]: Recording frame #74. Delay: 0.01825094223022461
[DEBUG, 1509147912.0729601]: Recording frame #75. Delay: 0.06016993522644043
[DEBUG, 1509147912.0796971]: Recording frame #76. Delay: 0.04219388961791992
[DEBUG, 1509147912.0879345]: Recording frame #77. Delay: 0.015572547912597656
[DEBUG, 1509147912.2049122]: Recording frame #78. Delay: 0.09975719451904297
[DEBUG, 1509147912.2118425]: Recording frame #79. Delay: 0.07581090927124023
[DEBUG, 1509147912.2170553]: Recording frame #80. Delay: 0.0473027229309082
[DEBUG, 1509147912.2228663]: Recording frame #81. Delay: 0.01857733726501465
[DEBUG, 1509147912.3410625]: Recording frame #82. Delay: 0.10402917861938477
[DEBUG, 1509147912.3485901]: Recording frame #83. Delay: 0.07708907127380371
[DEBUG, 1509147912.356423]: Recording frame #84. Delay: 0.05185103416442871
[DEBUG, 1509147912.3644843]: Recording frame #85. Delay: 0.024815797805786133
[DEBUG, 1509147912.436989]: Recording frame #86. Delay: 0.055824995040893555
[DEBUG, 1509147912.4440458]: Recording frame #87. Delay: 0.044528961181640625
[DEBUG, 1509147912.4502738]: Recording frame #88. Delay: 0.013886213302612305
[DEBUG, 1509147912.5722625]: Recording frame #89. Delay: 0.10420441627502441
[DEBUG, 1509147912.5803475]: Recording frame #90. Delay: 0.07594418525695801
