[QuadEncoder @ factory.py:85][DEBUG] 2017-11-15 17:48:33,319: Logging to: logs/2017_Nov_15/QuadEncoder/17_48_33.log
[QuadEncoder @ arduino.py:88][INFO] 2017-11-15 17:48:38,273: configuring done. Finding whoiam=Quadrature-Encoder
[QuadEncoder @ arduino.py:55][INFO] 2017-11-15 17:48:38,273: Quadrature-Encoder's setup complete
[QuadEncoder @ arduino.py:159][INFO] 2017-11-15 17:48:39,560: Device has started!
[QuadEncoder @ arduino.py:160][INFO] 2017-11-15 17:48:39,563: init packet: 
[QuadEncoder @ quad_encoder.py:86][INFO] 2017-11-15 17:48:39,769: start tick value: 0
[QuadEncoder @ arduino.py:188][INFO] 2017-11-15 17:48:42,566: found 113 packets in 3s (avg=37.7 packets/sec). 113 received in total (avg=37.6 packets/sec)
[QuadEncoder @ node.py:79][DEBUG] 2017-11-15 17:48:42,846: [log buffer start]
[DEBUG, 1510786120.6118493]: EncoderMessage(t=1510786120.6118493, n=34, pt=1510786120.5911598, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.642826]: EncoderMessage(t=1510786120.642826, n=35, pt=1510786120.6118493, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.6634693]: EncoderMessage(t=1510786120.6634693, n=36, pt=1510786120.642826, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.694507]: EncoderMessage(t=1510786120.694507, n=37, pt=1510786120.6634693, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.7153163]: EncoderMessage(t=1510786120.7153163, n=38, pt=1510786120.694507, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.7360842]: EncoderMessage(t=1510786120.7360842, n=39, pt=1510786120.7153163, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.766983]: EncoderMessage(t=1510786120.766983, n=40, pt=1510786120.7360842, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.7878695]: EncoderMessage(t=1510786120.7878695, n=41, pt=1510786120.766983, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.8189683]: EncoderMessage(t=1510786120.8189683, n=42, pt=1510786120.7878695, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.8399749]: EncoderMessage(t=1510786120.8399749, n=43, pt=1510786120.8189683, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.8709564]: EncoderMessage(t=1510786120.8709564, n=44, pt=1510786120.8399749, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.8916872]: EncoderMessage(t=1510786120.8916872, n=45, pt=1510786120.8709564, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.9123738]: EncoderMessage(t=1510786120.9123738, n=46, pt=1510786120.8916872, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.943334]: EncoderMessage(t=1510786120.943334, n=47, pt=1510786120.9123738, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.9640534]: EncoderMessage(t=1510786120.9640534, n=48, pt=1510786120.943334, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786120.9949036]: EncoderMessage(t=1510786120.9949036, n=49, pt=1510786120.9640534, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.015653]: EncoderMessage(t=1510786121.015653, n=50, pt=1510786120.9949036, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.046598]: EncoderMessage(t=1510786121.046598, n=51, pt=1510786121.015653, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.0672793]: EncoderMessage(t=1510786121.0672793, n=52, pt=1510786121.046598, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.0879853]: EncoderMessage(t=1510786121.0879853, n=53, pt=1510786121.0672793, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.1189241]: EncoderMessage(t=1510786121.1189241, n=54, pt=1510786121.0879853, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.13953]: EncoderMessage(t=1510786121.13953, n=55, pt=1510786121.1189241, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.1703506]: EncoderMessage(t=1510786121.1703506, n=56, pt=1510786121.13953, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.1909535]: EncoderMessage(t=1510786121.1909535, n=57, pt=1510786121.1703506, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.222059]: EncoderMessage(t=1510786121.222059, n=58, pt=1510786121.1909535, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.2428408]: EncoderMessage(t=1510786121.2428408, n=59, pt=1510786121.222059, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.2634668]: EncoderMessage(t=1510786121.2634668, n=60, pt=1510786121.2428408, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.2943454]: EncoderMessage(t=1510786121.2943454, n=61, pt=1510786121.2634668, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.315023]: EncoderMessage(t=1510786121.315023, n=62, pt=1510786121.2943454, tick=0, dist=0.0, ptick=0, pdist=0.0)
[DEBUG, 1510786121.345908]: EncoderMessage(t=1510786121.345908, n=63, pt=1510786121.315023, tick=0, dist=0.0, ptick=0, pdist=0.0)
