[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-28 06:24:22,410: Logging to: logs/2017_Oct_28/OpenCVCamera/06_24_22.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-28 06:24:28,413: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:24:29,313: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:24:32,321: received 90 messages in 3 seconds. 91 received in total (avg=9.2 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:24:35,358: received 91 messages in 3 seconds. 182 received in total (avg=14.1 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-28 06:24:37,090: [log buffer start]
[DEBUG, 1509186269.3137045]: ImageMessage(t=1509186269.3136864, n=0)
[DEBUG, 1509186269.3236876]: ImageMessage(t=1509186269.3236828, n=1)
[DEBUG, 1509186269.354562]: ImageMessage(t=1509186269.3545527, n=2)
[DEBUG, 1509186269.388613]: ImageMessage(t=1509186269.3886034, n=3)
[DEBUG, 1509186269.4257226]: ImageMessage(t=1509186269.4257135, n=4)
[DEBUG, 1509186269.4613688]: ImageMessage(t=1509186269.46136, n=5)
[DEBUG, 1509186269.4937716]: ImageMessage(t=1509186269.4937613, n=6)
[DEBUG, 1509186269.5255654]: ImageMessage(t=1509186269.525556, n=7)
[DEBUG, 1509186269.5620525]: ImageMessage(t=1509186269.5620418, n=8)
[DEBUG, 1509186269.593909]: ImageMessage(t=1509186269.5938988, n=9)
[DEBUG, 1509186269.6217656]: ImageMessage(t=1509186269.6217563, n=10)
[DEBUG, 1509186269.661656]: ImageMessage(t=1509186269.6616454, n=11)
[DEBUG, 1509186269.69346]: ImageMessage(t=1509186269.6934497, n=12)
[DEBUG, 1509186269.7259827]: ImageMessage(t=1509186269.7259722, n=13)
[DEBUG, 1509186269.761722]: ImageMessage(t=1509186269.7617114, n=14)
