[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-28 07:11:32,974: Logging to: logs/2017_Oct_28/OpenCVCamera/07_11_32.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-28 07:11:39,015: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:11:40,387: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:11:43,415: received 44 messages in 3 seconds. 45 received in total (avg=4.3 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:11:46,473: received 46 messages in 3 seconds. 91 received in total (avg=6.7 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:11:49,535: received 46 messages in 3 seconds. 137 received in total (avg=8.3 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:11:52,597: received 46 messages in 3 seconds. 183 received in total (avg=9.3 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 07:11:55,652: received 46 messages in 3 seconds. 229 received in total (avg=10.1 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-28 07:11:55,984: [log buffer start]
[DEBUG, 1509189100.386794]: ImageMessage(t=1509189100.3867314, n=0)
[DEBUG, 1509189100.501977]: ImageMessage(t=1509189100.5019665, n=1)
[DEBUG, 1509189100.6182766]: ImageMessage(t=1509189100.6182692, n=2)
[DEBUG, 1509189100.6888847]: ImageMessage(t=1509189100.6888733, n=3)
[DEBUG, 1509189100.7571163]: ImageMessage(t=1509189100.757105, n=4)
[DEBUG, 1509189100.8211422]: ImageMessage(t=1509189100.8211327, n=5)
[DEBUG, 1509189100.8888059]: ImageMessage(t=1509189100.8887966, n=6)
[DEBUG, 1509189100.9568567]: ImageMessage(t=1509189100.9568458, n=7)
[DEBUG, 1509189101.0209103]: ImageMessage(t=1509189101.020899, n=8)
[DEBUG, 1509189101.0888243]: ImageMessage(t=1509189101.0888133, n=9)
[DEBUG, 1509189101.156606]: ImageMessage(t=1509189101.1565957, n=10)
[DEBUG, 1509189101.2206762]: ImageMessage(t=1509189101.2206652, n=11)
[DEBUG, 1509189101.2886868]: ImageMessage(t=1509189101.2886753, n=12)
[DEBUG, 1509189101.3529248]: ImageMessage(t=1509189101.3529146, n=13)
[DEBUG, 1509189101.420748]: ImageMessage(t=1509189101.4207366, n=14)
[DEBUG, 1509189101.4888008]: ImageMessage(t=1509189101.4887893, n=15)
[DEBUG, 1509189101.5527382]: ImageMessage(t=1509189101.5527275, n=16)
[DEBUG, 1509189101.6203897]: ImageMessage(t=1509189101.6203787, n=17)
[DEBUG, 1509189101.6885314]: ImageMessage(t=1509189101.6885192, n=18)
[DEBUG, 1509189101.7525353]: ImageMessage(t=1509189101.752524, n=19)
[DEBUG, 1509189101.8204417]: ImageMessage(t=1509189101.8204312, n=20)
[DEBUG, 1509189101.8843563]: ImageMessage(t=1509189101.8843465, n=21)
[DEBUG, 1509189101.9523082]: ImageMessage(t=1509189101.952297, n=22)
[DEBUG, 1509189102.0202658]: ImageMessage(t=1509189102.0202546, n=23)
[DEBUG, 1509189102.084334]: ImageMessage(t=1509189102.0843232, n=24)
