[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-28 06:51:48,555: Logging to: logs/2017_Oct_28/OpenCVCamera/06_51_48.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-28 06:51:54,564: Loading capture '1'
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:51:56,184: received 1 messages in 3 seconds. 1 received in total (avg=0.1 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:51:59,274: received 25 messages in 3 seconds. 26 received in total (avg=2.4 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:52:02,284: received 56 messages in 3 seconds. 82 received in total (avg=6.0 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:52:05,339: received 46 messages in 3 seconds. 128 received in total (avg=7.6 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:52:08,402: received 46 messages in 3 seconds. 174 received in total (avg=8.8 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-28 06:52:11,460: received 46 messages in 3 seconds. 220 received in total (avg=9.6 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-28 06:52:12,392: [log buffer start]
[DEBUG, 1509187916.1844006]: ImageMessage(t=1509187916.1843803, n=0)
[DEBUG, 1509187916.2893903]: ImageMessage(t=1509187916.2893791, n=1)
[DEBUG, 1509187916.4133122]: ImageMessage(t=1509187916.4133, n=2)
[DEBUG, 1509187916.5375183]: ImageMessage(t=1509187916.5375068, n=3)
[DEBUG, 1509187916.6612852]: ImageMessage(t=1509187916.6612728, n=4)
[DEBUG, 1509187916.7892463]: ImageMessage(t=1509187916.7892365, n=5)
[DEBUG, 1509187916.9131093]: ImageMessage(t=1509187916.9130995, n=6)
[DEBUG, 1509187917.0371814]: ImageMessage(t=1509187917.0371716, n=7)
[DEBUG, 1509187917.1608863]: ImageMessage(t=1509187917.1608756, n=8)
[DEBUG, 1509187917.2849934]: ImageMessage(t=1509187917.2849834, n=9)
[DEBUG, 1509187917.4166598]: ImageMessage(t=1509187917.416647, n=10)
[DEBUG, 1509187917.5392425]: ImageMessage(t=1509187917.539231, n=11)
[DEBUG, 1509187917.6655128]: ImageMessage(t=1509187917.665503, n=12)
[DEBUG, 1509187917.7887223]: ImageMessage(t=1509187917.78871, n=13)
[DEBUG, 1509187917.9118047]: ImageMessage(t=1509187917.9117942, n=14)
[DEBUG, 1509187918.035795]: ImageMessage(t=1509187918.0357833, n=15)
[DEBUG, 1509187918.1637669]: ImageMessage(t=1509187918.163756, n=16)
[DEBUG, 1509187918.287411]: ImageMessage(t=1509187918.287401, n=17)
[DEBUG, 1509187918.4088821]: ImageMessage(t=1509187918.408871, n=18)
[DEBUG, 1509187918.5304153]: ImageMessage(t=1509187918.530408, n=19)
[DEBUG, 1509187918.6554606]: ImageMessage(t=1509187918.65545, n=20)
[DEBUG, 1509187918.7796426]: ImageMessage(t=1509187918.7796316, n=21)
[DEBUG, 1509187918.903491]: ImageMessage(t=1509187918.9034786, n=22)
[DEBUG, 1509187919.0270371]: ImageMessage(t=1509187919.0270274, n=23)
[DEBUG, 1509187919.1549518]: ImageMessage(t=1509187919.1549413, n=24)
[DEBUG, 1509187919.2744443]: ImageMessage(t=1509187919.2744348, n=25)
[DEBUG, 1509187919.3183997]: ImageMessage(t=1509187919.318387, n=26)
[DEBUG, 1509187919.358597]: ImageMessage(t=1509187919.3585854, n=27)
[DEBUG, 1509187919.4825459]: ImageMessage(t=1509187919.4825401, n=28)
[DEBUG, 1509187919.4880855]: ImageMessage(t=1509187919.4880807, n=29)
[DEBUG, 1509187919.4937804]: ImageMessage(t=1509187919.4937758, n=30)
[DEBUG, 1509187919.5234582]: ImageMessage(t=1509187919.5234482, n=31)
[DEBUG, 1509187919.5659275]: ImageMessage(t=1509187919.5659168, n=32)
[DEBUG, 1509187919.6097927]: ImageMessage(t=1509187919.6097825, n=33)
[DEBUG, 1509187919.6498108]: ImageMessage(t=1509187919.649801, n=34)
[DEBUG, 1509187919.7147398]: ImageMessage(t=1509187919.7147298, n=35)
[DEBUG, 1509187919.7336414]: ImageMessage(t=1509187919.7336297, n=36)
[DEBUG, 1509187919.773741]: ImageMessage(t=1509187919.7737298, n=37)
[DEBUG, 1509187919.8176084]: ImageMessage(t=1509187919.8175962, n=38)
[DEBUG, 1509187919.8640776]: ImageMessage(t=1509187919.8640668, n=39)
[DEBUG, 1509187919.9016292]: ImageMessage(t=1509187919.901618, n=40)
[DEBUG, 1509187919.941531]: ImageMessage(t=1509187919.9415197, n=41)
[DEBUG, 1509187919.985474]: ImageMessage(t=1509187919.9854624, n=42)
[DEBUG, 1509187920.0313923]: ImageMessage(t=1509187920.0313826, n=43)
[DEBUG, 1509187920.069517]: ImageMessage(t=1509187920.069505, n=44)
[DEBUG, 1509187920.1100862]: ImageMessage(t=1509187920.1100736, n=45)
[DEBUG, 1509187920.1531076]: ImageMessage(t=1509187920.1530957, n=46)
[DEBUG, 1509187920.1989596]: ImageMessage(t=1509187920.198953, n=47)
[DEBUG, 1509187920.2335556]: ImageMessage(t=1509187920.2335446, n=48)
[DEBUG, 1509187920.2736254]: ImageMessage(t=1509187920.2736142, n=49)
[DEBUG, 1509187920.3176732]: ImageMessage(t=1509187920.3176615, n=50)
[DEBUG, 1509187920.3553035]: ImageMessage(t=1509187920.355294, n=51)
[DEBUG, 1509187920.4012942]: ImageMessage(t=1509187920.4012837, n=52)
[DEBUG, 1509187920.4415264]: ImageMessage(t=1509187920.441515, n=53)
[DEBUG, 1509187920.4814115]: ImageMessage(t=1509187920.4814026, n=54)
[DEBUG, 1509187920.549367]: ImageMessage(t=1509187920.549356, n=55)
[DEBUG, 1509187920.6209245]: ImageMessage(t=1509187920.6209135, n=56)
[DEBUG, 1509187920.686651]: ImageMessage(t=1509187920.6866355, n=57)
[DEBUG, 1509187920.7498918]: ImageMessage(t=1509187920.7498794, n=58)
[DEBUG, 1509187920.8175273]: ImageMessage(t=1509187920.8175168, n=59)
[DEBUG, 1509187920.8857431]: ImageMessage(t=1509187920.8857293, n=60)
[DEBUG, 1509187920.9497004]: ImageMessage(t=1509187920.949689, n=61)
