[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-28 06:51:48,556: Logging to: logs/2017_Oct_28/OpenCVRecorder/06_51_48.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-28 06:51:48,556: Initialized video recorder. Path set to: videos/2017_Oct_28/BabyBuggy/06_51_48.avi
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:51:56,185: received 0 messages in 3 seconds. 0 received in total (avg=0.0 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:51:59,361: received 25 messages in 3 seconds. 25 received in total (avg=2.3 messages/sec)
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-28 06:51:59,361: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-28 06:51:59,362: Writing to 'videos/2017_Oct_28/BabyBuggy/06_51_48.avi'. width = 640, height = 480, fps = 9.267361496526004
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-28 06:51:59,363: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-28 06:51:59,468: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:02,487: received 57 messages in 3 seconds. 82 received in total (avg=5.9 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:05,489: received 46 messages in 3 seconds. 128 received in total (avg=7.6 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:52:08,490: received 46 messages in 3 seconds. 174 received in total (avg=8.7 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 06:52:10,946: [log buffer start]
[DEBUG, 1509187920.8946023]: Recording frame #59. Delay: 0.0770878791809082
[DEBUG, 1509187920.9010627]: Recording frame #60. Delay: 0.015334844589233398
[DEBUG, 1509187921.0861142]: Recording frame #61. Delay: 0.136427640914917
[DEBUG, 1509187921.0926886]: Recording frame #62. Delay: 0.07518196105957031
[DEBUG, 1509187921.0967941]: Recording frame #63. Delay: 0.011932611465454102
[DEBUG, 1509187921.2870243]: Recording frame #64. Delay: 0.13474702835083008
[DEBUG, 1509187921.2945337]: Recording frame #65. Delay: 0.0736076831817627
[DEBUG, 1509187921.2996306]: Recording frame #66. Delay: 0.01424717903137207
[DEBUG, 1509187921.4826145]: Recording frame #67. Delay: 0.12976479530334473
[DEBUG, 1509187921.4924507]: Recording frame #68. Delay: 0.07235479354858398
[DEBUG, 1509187921.5036848]: Recording frame #69. Delay: 0.022150516510009766
[DEBUG, 1509187921.686853]: Recording frame #70. Delay: 0.13717007637023926
[DEBUG, 1509187921.6985073]: Recording frame #71. Delay: 0.08306741714477539
[DEBUG, 1509187921.7102566]: Recording frame #72. Delay: 0.024971723556518555
[DEBUG, 1509187921.8857763]: Recording frame #73. Delay: 0.13385796546936035
[DEBUG, 1509187921.8959606]: Recording frame #74. Delay: 0.08208489418029785
[DEBUG, 1509187921.905993]: Recording frame #75. Delay: 0.02158808708190918
[DEBUG, 1509187922.0864096]: Recording frame #76. Delay: 0.13428163528442383
[DEBUG, 1509187922.0931563]: Recording frame #77. Delay: 0.07765507698059082
[DEBUG, 1509187922.1001444]: Recording frame #78. Delay: 0.015194892883300781
[DEBUG, 1509187922.286326]: Recording frame #79. Delay: 0.13722681999206543
[DEBUG, 1509187922.2932434]: Recording frame #80. Delay: 0.07751584053039551
[DEBUG, 1509187922.2998888]: Recording frame #81. Delay: 0.015633821487426758
[DEBUG, 1509187922.4871724]: Recording frame #82. Delay: 0.14230060577392578
[DEBUG, 1509187922.4945989]: Recording frame #83. Delay: 0.08164095878601074
[DEBUG, 1509187922.5026941]: Recording frame #84. Delay: 0.017673969268798828
[DEBUG, 1509187922.684267]: Recording frame #85. Delay: 0.136491060256958
[DEBUG, 1509187922.693914]: Recording frame #86. Delay: 0.07846331596374512
[DEBUG, 1509187922.703298]: Recording frame #87. Delay: 0.019783735275268555
[DEBUG, 1509187922.8824654]: Recording frame #88. Delay: 0.1348862648010254
[DEBUG, 1509187922.8882952]: Recording frame #89. Delay: 0.07247090339660645
[DEBUG, 1509187922.8935158]: Recording frame #90. Delay: 0.0115814208984375
[DEBUG, 1509187923.0848632]: Recording frame #91. Delay: 0.1400132179260254
[DEBUG, 1509187923.0913527]: Recording frame #92. Delay: 0.07593774795532227
[DEBUG, 1509187923.099307]: Recording frame #93. Delay: 0.016144275665283203
[DEBUG, 1509187923.2771263]: Recording frame #94. Delay: 0.12962102890014648
[DEBUG, 1509187923.2879138]: Recording frame #95. Delay: 0.07236886024475098
[DEBUG, 1509187923.2968965]: Recording frame #96. Delay: 0.02028369903564453
[DEBUG, 1509187923.4806073]: Recording frame #97. Delay: 0.13622283935546875
[DEBUG, 1509187923.4909313]: Recording frame #98. Delay: 0.07549023628234863
[DEBUG, 1509187923.501375]: Recording frame #99. Delay: 0.021544933319091797
[DEBUG, 1509187923.6774728]: Recording frame #100. Delay: 0.13329434394836426
[DEBUG, 1509187923.6877642]: Recording frame #101. Delay: 0.07559442520141602
[DEBUG, 1509187923.6976135]: Recording frame #102. Delay: 0.02116084098815918
[DEBUG, 1509187923.8813121]: Recording frame #103. Delay: 0.13701987266540527
[DEBUG, 1509187923.8887925]: Recording frame #104. Delay: 0.07636713981628418
[DEBUG, 1509187923.8961153]: Recording frame #105. Delay: 0.016388654708862305
[DEBUG, 1509187924.0808208]: Recording frame #106. Delay: 0.13608217239379883
[DEBUG, 1509187924.0910451]: Recording frame #107. Delay: 0.08013415336608887
[DEBUG, 1509187924.100709]: Recording frame #108. Delay: 0.02132272720336914
[DEBUG, 1509187924.2811422]: Recording frame #109. Delay: 0.13419413566589355
[DEBUG, 1509187924.2883337]: Recording frame #110. Delay: 0.07715916633605957
[DEBUG, 1509187924.2949667]: Recording frame #111. Delay: 0.015421867370605469
[DEBUG, 1509187924.4804993]: Recording frame #112. Delay: 0.13658952713012695
[DEBUG, 1509187924.4883552]: Recording frame #113. Delay: 0.08029007911682129
[DEBUG, 1509187924.497647]: Recording frame #114. Delay: 0.018560171127319336
