[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-28 07:11:32,974: Logging to: logs/2017_Oct_28/OpenCVRecorder/07_11_32.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-28 07:11:32,975: Initialized video recorder. Path set to: videos/2017_Oct_28/BabyBuggy/07_11_32.avi
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:11:40,389: received 0 messages in 3 seconds. 0 received in total (avg=0.0 messages/sec)
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-28 07:11:42,285: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-28 07:11:42,286: Writing to 'videos/2017_Oct_28/BabyBuggy/07_11_32.avi'. width = 640, height = 480, fps = 14.549405254527121
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-28 07:11:42,287: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-28 07:11:42,407: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:11:43,416: received 42 messages in 3 seconds. 42 received in total (avg=4.0 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:11:46,421: received 46 messages in 3 seconds. 88 received in total (avg=6.5 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:11:49,600: received 46 messages in 3 seconds. 134 received in total (avg=8.1 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:11:52,600: received 46 messages in 3 seconds. 180 received in total (avg=9.2 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 07:11:54,721: [log buffer start]
[DEBUG, 1509189100.3891082]: Recording frame #0. Delay: 0.002412080764770508
[DEBUG, 1509189100.6899083]: Recording frame #1. Delay: 0.1879444122314453
[DEBUG, 1509189100.6900342]: Recording frame #2. Delay: 0.07176661491394043
[DEBUG, 1509189100.6901314]: Recording frame #3. Delay: 0.0012600421905517578
[DEBUG, 1509189100.8903117]: Recording frame #4. Delay: 0.1332085132598877
[DEBUG, 1509189100.8904128]: Recording frame #5. Delay: 0.06928157806396484
[DEBUG, 1509189100.890484]: Recording frame #6. Delay: 0.0016889572143554688
[DEBUG, 1509189101.0893655]: Recording frame #7. Delay: 0.1325225830078125
[DEBUG, 1509189101.0894837]: Recording frame #8. Delay: 0.06858611106872559
[DEBUG, 1509189101.0895684]: Recording frame #9. Delay: 0.0007560253143310547
[DEBUG, 1509189101.2892363]: Recording frame #10. Delay: 0.1326429843902588
[DEBUG, 1509189101.2893581]: Recording frame #11. Delay: 0.0686948299407959
[DEBUG, 1509189101.2894413]: Recording frame #12. Delay: 0.0007672309875488281
[DEBUG, 1509189101.490275]: Recording frame #13. Delay: 0.13736295700073242
[DEBUG, 1509189101.4903817]: Recording frame #14. Delay: 0.06964683532714844
[DEBUG, 1509189101.4904547]: Recording frame #15. Delay: 0.0016665458679199219
