[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-28 07:00:06,216: Logging to: logs/2017_Oct_28/OpenCVRecorder/07_00_06.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-28 07:00:06,216: Initialized video recorder. Path set to: videos/2017_Oct_28/BabyBuggy/07_00_06.avi
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:13,299: received 0 messages in 3 seconds. 0 received in total (avg=0.0 messages/sec)
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-28 07:00:15,083: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-28 07:00:15,084: Writing to 'videos/2017_Oct_28/BabyBuggy/07_00_06.avi'. width = 640, height = 480, fps = 15.15949590492528
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-28 07:00:15,085: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-28 07:00:15,210: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:16,306: received 45 messages in 3 seconds. 45 received in total (avg=4.5 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:19,476: received 45 messages in 3 seconds. 90 received in total (avg=6.8 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:22,602: received 48 messages in 3 seconds. 138 received in total (avg=8.4 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:25,725: received 46 messages in 3 seconds. 184 received in total (avg=9.4 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 07:00:27,535: [log buffer start]
[DEBUG, 1509188413.2987611]: Recording frame #0. Delay: 0.0024836063385009766
[DEBUG, 1509188413.486538]: Recording frame #1. Delay: 0.13564562797546387
[DEBUG, 1509188413.4867778]: Recording frame #2. Delay: 0.0646519660949707
[DEBUG, 1509188413.486866]: Recording frame #3. Delay: 0.0010609626770019531
[DEBUG, 1509188413.682643]: Recording frame #4. Delay: 0.13617634773254395
[DEBUG, 1509188413.682753]: Recording frame #5. Delay: 0.06934046745300293
[DEBUG, 1509188413.6828258]: Recording frame #6. Delay: 0.0011143684387207031
[DEBUG, 1509188413.8843157]: Recording frame #7. Delay: 0.13402295112609863
[DEBUG, 1509188413.8844378]: Recording frame #8. Delay: 0.06606507301330566
[DEBUG, 1509188413.884571]: Recording frame #9. Delay: 0.0019474029541015625
[DEBUG, 1509188414.082563]: Recording frame #10. Delay: 0.13215875625610352
[DEBUG, 1509188414.0826714]: Recording frame #11. Delay: 0.06500935554504395
[DEBUG, 1509188414.082744]: Recording frame #12. Delay: 0.0006706714630126953
[DEBUG, 1509188414.2835662]: Recording frame #13. Delay: 0.1334092617034912
[DEBUG, 1509188414.2836854]: Recording frame #14. Delay: 0.06914520263671875
[DEBUG, 1509188414.283768]: Recording frame #15. Delay: 0.0011653900146484375
[DEBUG, 1509188414.4829302]: Recording frame #16. Delay: 0.1327955722808838
[DEBUG, 1509188414.483029]: Recording frame #17. Delay: 0.06858515739440918
[DEBUG, 1509188414.4830904]: Recording frame #18. Delay: 0.001554727554321289
[DEBUG, 1509188414.6828198]: Recording frame #19. Delay: 0.13293004035949707
[DEBUG, 1509188414.6829443]: Recording frame #20. Delay: 0.06860971450805664
[DEBUG, 1509188414.6830292]: Recording frame #21. Delay: 0.0007658004760742188
[DEBUG, 1509188414.882669]: Recording frame #22. Delay: 0.13276195526123047
[DEBUG, 1509188414.8827794]: Recording frame #23. Delay: 0.06923341751098633
[DEBUG, 1509188414.8828547]: Recording frame #24. Delay: 0.0007011890411376953
[DEBUG, 1509188415.0833461]: Recording frame #25. Delay: 0.13714861869812012
[DEBUG, 1509188415.2113118]: Recording frame #26. Delay: 0.19722247123718262
[DEBUG, 1509188415.2164562]: Recording frame #27. Delay: 0.1345977783203125
[DEBUG, 1509188415.4182918]: Recording frame #28. Delay: 0.19077825546264648
[DEBUG, 1509188415.4256911]: Recording frame #29. Delay: 0.19139599800109863
[DEBUG, 1509188415.4333284]: Recording frame #30. Delay: 0.15489888191223145
[DEBUG, 1509188415.4454908]: Recording frame #31. Delay: 0.09700632095336914
[DEBUG, 1509188415.453341]: Recording frame #32. Delay: 0.03624391555786133
[DEBUG, 1509188415.6799204]: Recording frame #33. Delay: 0.19780683517456055
[DEBUG, 1509188415.6869385]: Recording frame #34. Delay: 0.1386711597442627
[DEBUG, 1509188415.6952786]: Recording frame #35. Delay: 0.07947063446044922
[DEBUG, 1509188415.7056386]: Recording frame #36. Delay: 0.0264585018157959
[DEBUG, 1509188415.8816514]: Recording frame #37. Delay: 0.13694500923156738
[DEBUG, 1509188415.8892963]: Recording frame #38. Delay: 0.07714676856994629
[DEBUG, 1509188415.8962371]: Recording frame #39. Delay: 0.015949726104736328
[DEBUG, 1509188416.0802321]: Recording frame #40. Delay: 0.13314461708068848
[DEBUG, 1509188416.092324]: Recording frame #41. Delay: 0.07661604881286621
[DEBUG, 1509188416.1045122]: Recording frame #42. Delay: 0.025521516799926758
[DEBUG, 1509188416.2811973]: Recording frame #43. Delay: 0.13683104515075684
[DEBUG, 1509188416.2937562]: Recording frame #44. Delay: 0.0773618221282959
[DEBUG, 1509188416.3059692]: Recording frame #45. Delay: 0.026103496551513672
[DEBUG, 1509188416.5445113]: Recording frame #46. Delay: 0.19979286193847656
[DEBUG, 1509188416.551387]: Recording frame #47. Delay: 0.13869762420654297
[DEBUG, 1509188416.557843]: Recording frame #48. Delay: 0.08188438415527344
[DEBUG, 1509188416.5637567]: Recording frame #49. Delay: 0.0198211669921875
[DEBUG, 1509188416.7447488]: Recording frame #50. Delay: 0.1363356113433838
[DEBUG, 1509188416.7523215]: Recording frame #51. Delay: 0.0760962963104248
[DEBUG, 1509188416.7624004]: Recording frame #52. Delay: 0.018696069717407227
[DEBUG, 1509188416.9488332]: Recording frame #53. Delay: 0.13643431663513184
[DEBUG, 1509188416.9611025]: Recording frame #54. Delay: 0.08012962341308594
[DEBUG, 1509188416.9729471]: Recording frame #55. Delay: 0.025442838668823242
[DEBUG, 1509188417.2088208]: Recording frame #56. Delay: 0.20032000541687012
[DEBUG, 1509188417.2171955]: Recording frame #57. Delay: 0.14159035682678223
[DEBUG, 1509188417.2261147]: Recording frame #58. Delay: 0.08240723609924316
[DEBUG, 1509188417.2341459]: Recording frame #59. Delay: 0.02597665786743164
[DEBUG, 1509188417.409097]: Recording frame #60. Delay: 0.13315176963806152
[DEBUG, 1509188417.4209278]: Recording frame #61. Delay: 0.08081412315368652
[DEBUG, 1509188417.4319065]: Recording frame #62. Delay: 0.024325847625732422
[DEBUG, 1509188417.6086807]: Recording frame #63. Delay: 0.1328740119934082
[DEBUG, 1509188417.6205611]: Recording frame #64. Delay: 0.08052325248718262
[DEBUG, 1509188417.6318583]: Recording frame #65. Delay: 0.023815631866455078
[DEBUG, 1509188417.8081138]: Recording frame #66. Delay: 0.13263463973999023
[DEBUG, 1509188417.8217504]: Recording frame #67. Delay: 0.0824439525604248
[DEBUG, 1509188417.8319228]: Recording frame #68. Delay: 0.02435445785522461
[DEBUG, 1509188418.008754]: Recording frame #69. Delay: 0.1333465576171875
[DEBUG, 1509188418.0225036]: Recording frame #70. Delay: 0.08272409439086914
[DEBUG, 1509188418.033423]: Recording frame #71. Delay: 0.02579784393310547
[DEBUG, 1509188418.2720485]: Recording frame #72. Delay: 0.2006368637084961
[DEBUG, 1509188418.2842474]: Recording frame #73. Delay: 0.1451244354248047
[DEBUG, 1509188418.295217]: Recording frame #74. Delay: 0.08779239654541016
[DEBUG, 1509188418.3055909]: Recording frame #75. Delay: 0.03410005569458008
[DEBUG, 1509188418.5388203]: Recording frame #76. Delay: 0.1998615264892578
[DEBUG, 1509188418.5472534]: Recording frame #77. Delay: 0.14026188850402832
[DEBUG, 1509188418.5550623]: Recording frame #78. Delay: 0.08400416374206543
[DEBUG, 1509188418.5613499]: Recording frame #79. Delay: 0.02367424964904785
[DEBUG, 1509188418.7403712]: Recording frame #80. Delay: 0.1291971206665039
[DEBUG, 1509188418.7477589]: Recording frame #81. Delay: 0.07295465469360352
[DEBUG, 1509188418.7565773]: Recording frame #82. Delay: 0.01727461814880371
[DEBUG, 1509188418.9425924]: Recording frame #83. Delay: 0.13921546936035156
[DEBUG, 1509188418.954324]: Recording frame #84. Delay: 0.07969021797180176
[DEBUG, 1509188418.9678702]: Recording frame #85. Delay: 0.026041746139526367
[DEBUG, 1509188419.2036827]: Recording frame #86. Delay: 0.20087456703186035
[DEBUG, 1509188419.214605]: Recording frame #87. Delay: 0.1387948989868164
[DEBUG, 1509188419.226801]: Recording frame #88. Delay: 0.0879971981048584
[DEBUG, 1509188419.2402523]: Recording frame #89. Delay: 0.03753304481506348
[DEBUG, 1509188419.476089]: Recording frame #90. Delay: 0.2053089141845703
[DEBUG, 1509188419.4914849]: Recording frame #91. Delay: 0.15031886100769043
[DEBUG, 1509188419.5055487]: Recording frame #92. Delay: 0.09832262992858887
[DEBUG, 1509188419.5172338]: Recording frame #93. Delay: 0.041944265365600586
[DEBUG, 1509188419.7356167]: Recording frame #94. Delay: 0.19497060775756836
[DEBUG, 1509188419.7482097]: Recording frame #95. Delay: 0.14572572708129883
[DEBUG, 1509188419.7597167]: Recording frame #96. Delay: 0.08880209922790527
[DEBUG, 1509188419.76948]: Recording frame #97. Delay: 0.034406185150146484
[DEBUG, 1509188420.006369]: Recording frame #98. Delay: 0.204606294631958
[DEBUG, 1509188420.01806]: Recording frame #99. Delay: 0.14740633964538574
[DEBUG, 1509188420.0312757]: Recording frame #100. Delay: 0.09364652633666992
[DEBUG, 1509188420.041645]: Recording frame #101. Delay: 0.035944223403930664
[DEBUG, 1509188420.267495]: Recording frame #102. Delay: 0.19770216941833496
[DEBUG, 1509188420.279134]: Recording frame #103. Delay: 0.1445140838623047
[DEBUG, 1509188420.2899437]: Recording frame #104. Delay: 0.08714842796325684
[DEBUG, 1509188420.3011675]: Recording frame #105. Delay: 0.03469038009643555
[DEBUG, 1509188420.5347285]: Recording frame #106. Delay: 0.2007274627685547
[DEBUG, 1509188420.5470843]: Recording frame #107. Delay: 0.1435697078704834
[DEBUG, 1509188420.5579116]: Recording frame #108. Delay: 0.09068131446838379
[DEBUG, 1509188420.568131]: Recording frame #109. Delay: 0.033925533294677734
[DEBUG, 1509188420.8031404]: Recording frame #110. Delay: 0.20142817497253418
[DEBUG, 1509188420.8144295]: Recording frame #111. Delay: 0.14822626113891602
[DEBUG, 1509188420.8266625]: Recording frame #112. Delay: 0.09246540069580078
[DEBUG, 1509188420.8378575]: Recording frame #113. Delay: 0.03525686264038086
[DEBUG, 1509188421.0707574]: Recording frame #114. Delay: 0.20582151412963867
[DEBUG, 1509188421.0777118]: Recording frame #115. Delay: 0.1402587890625
[DEBUG, 1509188421.084266]: Recording frame #116. Delay: 0.08216476440429688
[DEBUG, 1509188421.0919955]: Recording frame #117. Delay: 0.021973371505737305
[DEBUG, 1509188421.271534]: Recording frame #118. Delay: 0.13467073440551758
[DEBUG, 1509188421.2797472]: Recording frame #119. Delay: 0.07840108871459961
[DEBUG, 1509188421.2892985]: Recording frame #120. Delay: 0.019800901412963867
[DEBUG, 1509188421.4678094]: Recording frame #121. Delay: 0.12965917587280273
[DEBUG, 1509188421.4763198]: Recording frame #122. Delay: 0.07481122016906738
[DEBUG, 1509188421.483276]: Recording frame #123. Delay: 0.016164779663085938
[DEBUG, 1509188421.6665082]: Recording frame #124. Delay: 0.1334071159362793
[DEBUG, 1509188421.678517]: Recording frame #125. Delay: 0.08062553405761719
[DEBUG, 1509188421.690306]: Recording frame #126. Delay: 0.024344921112060547
[DEBUG, 1509188421.8712096]: Recording frame #127. Delay: 0.13361144065856934
[DEBUG, 1509188421.882194]: Recording frame #128. Delay: 0.08080697059631348
[DEBUG, 1509188421.8930447]: Recording frame #129. Delay: 0.023354768753051758
[DEBUG, 1509188422.1341171]: Recording frame #130. Delay: 0.20433640480041504
[DEBUG, 1509188422.148283]: Recording frame #131. Delay: 0.15019631385803223
[DEBUG, 1509188422.1596375]: Recording frame #132. Delay: 0.08914756774902344
[DEBUG, 1509188422.169789]: Recording frame #133. Delay: 0.03643035888671875
[DEBUG, 1509188422.40198]: Recording frame #134. Delay: 0.20308613777160645
[DEBUG, 1509188422.4123034]: Recording frame #135. Delay: 0.14416170120239258
[DEBUG, 1509188422.4220915]: Recording frame #136. Delay: 0.08953094482421875
[DEBUG, 1509188422.4321995]: Recording frame #137. Delay: 0.03149533271789551
[DEBUG, 1509188422.6023607]: Recording frame #138. Delay: 0.13263249397277832
[DEBUG, 1509188422.6117556]: Recording frame #139. Delay: 0.07961893081665039
[DEBUG, 1509188422.6189592]: Recording frame #140. Delay: 0.018094539642333984
[DEBUG, 1509188422.798305]: Recording frame #141. Delay: 0.13675761222839355
[DEBUG, 1509188422.810667]: Recording frame #142. Delay: 0.08125948905944824
[DEBUG, 1509188422.8218334]: Recording frame #143. Delay: 0.02448248863220215
[DEBUG, 1509188423.06485]: Recording frame #144. Delay: 0.20334100723266602
[DEBUG, 1509188423.072608]: Recording frame #145. Delay: 0.14348077774047852
[DEBUG, 1509188423.0794547]: Recording frame #146. Delay: 0.07999205589294434
[DEBUG, 1509188423.0898278]: Recording frame #147. Delay: 0.02573561668395996
[DEBUG, 1509188423.262215]: Recording frame #148. Delay: 0.12792038917541504
[DEBUG, 1509188423.274439]: Recording frame #149. Delay: 0.07426810264587402
[DEBUG, 1509188423.2851005]: Recording frame #150. Delay: 0.02394270896911621
[DEBUG, 1509188423.4612594]: Recording frame #151. Delay: 0.13218235969543457
[DEBUG, 1509188423.475631]: Recording frame #152. Delay: 0.08238768577575684
[DEBUG, 1509188423.4882326]: Recording frame #153. Delay: 0.027982711791992188
[DEBUG, 1509188423.728883]: Recording frame #154. Delay: 0.2018144130706787
[DEBUG, 1509188423.7390747]: Recording frame #155. Delay: 0.1460869312286377
[DEBUG, 1509188423.748437]: Recording frame #156. Delay: 0.08747315406799316
[DEBUG, 1509188423.757123]: Recording frame #157. Delay: 0.028835773468017578
[DEBUG, 1509188423.9933891]: Recording frame #158. Delay: 0.2023913860321045
[DEBUG, 1509188424.0052466]: Recording frame #159. Delay: 0.14435100555419922
[DEBUG, 1509188424.01665]: Recording frame #160. Delay: 0.08788371086120605
[DEBUG, 1509188424.0247328]: Recording frame #161. Delay: 0.03185725212097168
[DEBUG, 1509188424.2647228]: Recording frame #162. Delay: 0.20015716552734375
[DEBUG, 1509188424.2726023]: Recording frame #163. Delay: 0.14396333694458008
[DEBUG, 1509188424.2804015]: Recording frame #164. Delay: 0.08553338050842285
[DEBUG, 1509188424.2888277]: Recording frame #165. Delay: 0.02491021156311035
[DEBUG, 1509188424.5303864]: Recording frame #166. Delay: 0.20523905754089355
[DEBUG, 1509188424.5375984]: Recording frame #167. Delay: 0.1418590545654297
[DEBUG, 1509188424.5445783]: Recording frame #168. Delay: 0.08073210716247559
[DEBUG, 1509188424.5506492]: Recording frame #169. Delay: 0.021405458450317383
[DEBUG, 1509188424.7287223]: Recording frame #170. Delay: 0.13536334037780762
[DEBUG, 1509188424.7405393]: Recording frame #171. Delay: 0.07851839065551758
[DEBUG, 1509188424.7532299]: Recording frame #172. Delay: 0.025771379470825195
[DEBUG, 1509188424.9301894]: Recording frame #173. Delay: 0.13450360298156738
[DEBUG, 1509188424.9422493]: Recording frame #174. Delay: 0.08220386505126953
[DEBUG, 1509188424.9561744]: Recording frame #175. Delay: 0.02717423439025879
[DEBUG, 1509188425.196212]: Recording frame #176. Delay: 0.20147228240966797
[DEBUG, 1509188425.2087417]: Recording frame #177. Delay: 0.14960598945617676
[DEBUG, 1509188425.2209306]: Recording frame #178. Delay: 0.09358549118041992
[DEBUG, 1509188425.2323508]: Recording frame #179. Delay: 0.036852359771728516
[DEBUG, 1509188425.4596756]: Recording frame #180. Delay: 0.19539642333984375
[DEBUG, 1509188425.4709854]: Recording frame #181. Delay: 0.14295387268066406
[DEBUG, 1509188425.4791641]: Recording frame #182. Delay: 0.08774161338806152
[DEBUG, 1509188425.487522]: Recording frame #183. Delay: 0.028472423553466797
[DEBUG, 1509188425.7254062]: Recording frame #184. Delay: 0.2016439437866211
[DEBUG, 1509188425.734092]: Recording frame #185. Delay: 0.14588189125061035
[DEBUG, 1509188425.739869]: Recording frame #186. Delay: 0.08005070686340332
[DEBUG, 1509188425.7469387]: Recording frame #187. Delay: 0.022170066833496094
[DEBUG, 1509188425.92937]: Recording frame #188. Delay: 0.1416943073272705
[DEBUG, 1509188425.936371]: Recording frame #189. Delay: 0.08053874969482422
[DEBUG, 1509188425.9437044]: Recording frame #190. Delay: 0.016193628311157227
[DEBUG, 1509188426.1241386]: Recording frame #191. Delay: 0.13686847686767578
[DEBUG, 1509188426.1330776]: Recording frame #192. Delay: 0.07784795761108398
[DEBUG, 1509188426.1406436]: Recording frame #193. Delay: 0.017049789428710938
[DEBUG, 1509188426.3245673]: Recording frame #194. Delay: 0.13301610946655273
[DEBUG, 1509188426.337119]: Recording frame #195. Delay: 0.07704567909240723
[DEBUG, 1509188426.3469925]: Recording frame #196. Delay: 0.02330803871154785
[DEBUG, 1509188426.520727]: Recording frame #197. Delay: 0.13369488716125488
[DEBUG, 1509188426.5280595]: Recording frame #198. Delay: 0.07279682159423828
[DEBUG, 1509188426.5375504]: Recording frame #199. Delay: 0.01792740821838379
[DEBUG, 1509188426.724643]: Recording frame #200. Delay: 0.13593363761901855
[DEBUG, 1509188426.737615]: Recording frame #201. Delay: 0.07777833938598633
[DEBUG, 1509188426.7499254]: Recording frame #202. Delay: 0.026666879653930664
[DEBUG, 1509188426.991342]: Recording frame #203. Delay: 0.20453238487243652
[DEBUG, 1509188427.0029962]: Recording frame #204. Delay: 0.14815974235534668
[DEBUG, 1509188427.0103955]: Recording frame #205. Delay: 0.09153056144714355
[DEBUG, 1509188427.0174704]: Recording frame #206. Delay: 0.02668285369873047
[DEBUG, 1509188427.2552948]: Recording frame #207. Delay: 0.2043437957763672
[DEBUG, 1509188427.26808]: Recording frame #208. Delay: 0.1451711654663086
[DEBUG, 1509188427.2803876]: Recording frame #209. Delay: 0.09026408195495605
[DEBUG, 1509188427.2935753]: Recording frame #210. Delay: 0.03900575637817383
[DEBUG, 1509188427.5236602]: Recording frame #211. Delay: 0.2060225009918213
[DEBUG, 1509188427.5353844]: Recording frame #212. Delay: 0.14847803115844727
[log buffer end]
[OpenCVRecorder @ node.py:81][DEBUG] 2017-10-28 07:00:27,536: logging message buffer (len=16477)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:28,731: received 47 messages in 3 seconds. 231 received in total (avg=10.3 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:31,904: received 46 messages in 3 seconds. 277 received in total (avg=10.8 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:34,905: received 46 messages in 3 seconds. 323 received in total (avg=11.3 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:37,910: received 46 messages in 3 seconds. 369 received in total (avg=11.6 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 07:00:41,085: received 47 messages in 3 seconds. 416 received in total (avg=11.9 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 07:00:41,495: [log buffer start]
[DEBUG, 1509188427.5482397]: Recording frame #213. Delay: 0.09673762321472168
[DEBUG, 1509188427.5573788]: Recording frame #214. Delay: 0.03502178192138672
[DEBUG, 1509188427.7872415]: Recording frame #215. Delay: 0.20146703720092773
[DEBUG, 1509188427.7965498]: Recording frame #216. Delay: 0.14452838897705078
[DEBUG, 1509188427.8079674]: Recording frame #217. Delay: 0.08466720581054688
[DEBUG, 1509188427.8180013]: Recording frame #218. Delay: 0.0314481258392334
[DEBUG, 1509188428.0547867]: Recording frame #219. Delay: 0.2043471336364746
[DEBUG, 1509188428.061848]: Recording frame #220. Delay: 0.14320111274719238
[DEBUG, 1509188428.06834]: Recording frame #221. Delay: 0.08250951766967773
[DEBUG, 1509188428.0750997]: Recording frame #222. Delay: 0.020933151245117188
[DEBUG, 1509188428.251491]: Recording frame #223. Delay: 0.1327366828918457
[DEBUG, 1509188428.2628706]: Recording frame #224. Delay: 0.0803380012512207
[DEBUG, 1509188428.274404]: Recording frame #225. Delay: 0.02395153045654297
[DEBUG, 1509188428.4550698]: Recording frame #226. Delay: 0.13645315170288086
[DEBUG, 1509188428.4668858]: Recording frame #227. Delay: 0.08077883720397949
[DEBUG, 1509188428.4788413]: Recording frame #228. Delay: 0.025005578994750977
[DEBUG, 1509188428.7158492]: Recording frame #229. Delay: 0.19864463806152344
[DEBUG, 1509188428.7235966]: Recording frame #230. Delay: 0.1384878158569336
[DEBUG, 1509188428.7310674]: Recording frame #231. Delay: 0.07692289352416992
[DEBUG, 1509188428.740896]: Recording frame #232. Delay: 0.02557516098022461
[DEBUG, 1509188428.9862423]: Recording frame #233. Delay: 0.2061173915863037
[DEBUG, 1509188428.996748]: Recording frame #234. Delay: 0.1465616226196289
[DEBUG, 1509188429.0075223]: Recording frame #235. Delay: 0.09025263786315918
[DEBUG, 1509188429.0202222]: Recording frame #236. Delay: 0.035111188888549805
[DEBUG, 1509188429.2499897]: Recording frame #237. Delay: 0.2005748748779297
[DEBUG, 1509188429.2621884]: Recording frame #238. Delay: 0.14487552642822266
[DEBUG, 1509188429.2743082]: Recording frame #239. Delay: 0.08782124519348145
[DEBUG, 1509188429.2865164]: Recording frame #240. Delay: 0.037154197692871094
[DEBUG, 1509188429.5140667]: Recording frame #241. Delay: 0.20072722434997559
[DEBUG, 1509188429.5257673]: Recording frame #242. Delay: 0.1443321704864502
[DEBUG, 1509188429.5379455]: Recording frame #243. Delay: 0.09242463111877441
[DEBUG, 1509188429.549227]: Recording frame #244. Delay: 0.03565049171447754
[DEBUG, 1509188429.779444]: Recording frame #245. Delay: 0.20026159286499023
[DEBUG, 1509188429.7864304]: Recording frame #246. Delay: 0.13811969757080078
[DEBUG, 1509188429.794149]: Recording frame #247. Delay: 0.07735586166381836
[DEBUG, 1509188429.8011634]: Recording frame #248. Delay: 0.02227044105529785
[DEBUG, 1509188429.978395]: Recording frame #249. Delay: 0.13317656517028809
[DEBUG, 1509188429.9897685]: Recording frame #250. Delay: 0.0766758918762207
[DEBUG, 1509188429.9969907]: Recording frame #251. Delay: 0.019669294357299805
[DEBUG, 1509188430.1826012]: Recording frame #252. Delay: 0.13424301147460938
[DEBUG, 1509188430.1899061]: Recording frame #253. Delay: 0.07712292671203613
[DEBUG, 1509188430.1951084]: Recording frame #254. Delay: 0.013743877410888672
[DEBUG, 1509188430.3813453]: Recording frame #255. Delay: 0.1365344524383545
[DEBUG, 1509188430.3881292]: Recording frame #256. Delay: 0.07920646667480469
[DEBUG, 1509188430.3947568]: Recording frame #257. Delay: 0.014759063720703125
[DEBUG, 1509188430.5816782]: Recording frame #258. Delay: 0.13391852378845215
[DEBUG, 1509188430.593896]: Recording frame #259. Delay: 0.08144378662109375
[DEBUG, 1509188430.6004393]: Recording frame #260. Delay: 0.020168542861938477
[DEBUG, 1509188430.7796643]: Recording frame #261. Delay: 0.1389915943145752
[DEBUG, 1509188430.7925649]: Recording frame #262. Delay: 0.07921671867370605
[DEBUG, 1509188430.8038268]: Recording frame #263. Delay: 0.025285720825195312
[DEBUG, 1509188431.0443525]: Recording frame #264. Delay: 0.20419597625732422
[DEBUG, 1509188431.0555875]: Recording frame #265. Delay: 0.14302945137023926
[DEBUG, 1509188431.0628576]: Recording frame #266. Delay: 0.08290648460388184
[DEBUG, 1509188431.0692272]: Recording frame #267. Delay: 0.025615453720092773
[DEBUG, 1509188431.2448637]: Recording frame #268. Delay: 0.13271689414978027
[DEBUG, 1509188431.252265]: Recording frame #269. Delay: 0.07597756385803223
[DEBUG, 1509188431.2597802]: Recording frame #270. Delay: 0.016389131546020508
[DEBUG, 1509188431.4447403]: Recording frame #271. Delay: 0.1319115161895752
[DEBUG, 1509188431.4517875]: Recording frame #272. Delay: 0.07578921318054199
[DEBUG, 1509188431.4582708]: Recording frame #273. Delay: 0.015054464340209961
[DEBUG, 1509188431.6473155]: Recording frame #274. Delay: 0.13915085792541504
[DEBUG, 1509188431.6588697]: Recording frame #275. Delay: 0.08459830284118652
