[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-28 06:24:22,411: Logging to: logs/2017_Oct_28/OpenCVRecorder/06_24_22.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-28 06:24:22,411: Initialized video recorder. Path set to: videos/2017_Oct_28/BabyBuggy/06_24_22.avi
[OpenCVRecorder @ recorder.py:77][INFO] 2017-10-28 06:24:29,271: Making directory 'videos/2017_Oct_28/BabyBuggy'
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:24:29,315: received 0 messages in 3 seconds. 0 received in total (avg=0.0 messages/sec)
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-28 06:24:30,181: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-28 06:24:30,181: Writing to 'videos/2017_Oct_28/BabyBuggy/06_24_22.avi'. width = 640, height = 480, fps = 32.692382421460636
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-28 06:24:30,182: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-28 06:24:30,300: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:24:32,425: received 90 messages in 3 seconds. 90 received in total (avg=9.0 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-28 06:24:35,458: received 91 messages in 3 seconds. 181 received in total (avg=13.9 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-28 06:24:36,406: [log buffer start]
[DEBUG, 1509186269.3152835]: Recording frame #0. Delay: 0.001607656478881836
[DEBUG, 1509186269.4264593]: Recording frame #1. Delay: 0.10277819633483887
[DEBUG, 1509186269.4265695]: Recording frame #2. Delay: 0.07201838493347168
[DEBUG, 1509186269.4266412]: Recording frame #3. Delay: 0.0380396842956543
[DEBUG, 1509186269.426747]: Recording frame #4. Delay: 0.0010347366333007812
[DEBUG, 1509186269.5262947]: Recording frame #5. Delay: 0.06493711471557617
[DEBUG, 1509186269.5264006]: Recording frame #6. Delay: 0.032640695571899414
[DEBUG, 1509186269.5264645]: Recording frame #7. Delay: 0.0009093284606933594
[DEBUG, 1509186269.6224248]: Recording frame #8. Delay: 0.06038498878479004
[DEBUG, 1509186269.622517]: Recording frame #9. Delay: 0.028619766235351562
[DEBUG, 1509186269.6225746]: Recording frame #10. Delay: 0.0008192062377929688
[DEBUG, 1509186269.738866]: Recording frame #11. Delay: 0.07722306251525879
[DEBUG, 1509186269.7389882]: Recording frame #12. Delay: 0.04554009437561035
[DEBUG, 1509186269.739053]: Recording frame #13. Delay: 0.013082027435302734
[DEBUG, 1509186269.8266518]: Recording frame #14. Delay: 0.0649421215057373
[DEBUG, 1509186269.8267787]: Recording frame #15. Delay: 0.03303360939025879
[DEBUG, 1509186269.826857]: Recording frame #16. Delay: 0.0009992122650146484
[DEBUG, 1509186269.9539127]: Recording frame #17. Delay: 0.09177780151367188
[DEBUG, 1509186269.953997]: Recording frame #18. Delay: 0.059450626373291016
[DEBUG, 1509186269.9540396]: Recording frame #19. Delay: 0.028257131576538086
[DEBUG, 1509186270.0625634]: Recording frame #20. Delay: 0.10077333450317383
[DEBUG, 1509186270.0626779]: Recording frame #21. Delay: 0.0708615779876709
[DEBUG, 1509186270.0627558]: Recording frame #22. Delay: 0.036675453186035156
[DEBUG, 1509186270.0628338]: Recording frame #23. Delay: 0.0008025169372558594
[DEBUG, 1509186270.1810763]: Recording frame #24. Delay: 0.08709073066711426
[DEBUG, 1509186270.181171]: Recording frame #25. Delay: 0.0552978515625
[DEBUG, 1509186270.3004475]: Recording frame #26. Delay: 0.13915228843688965
[DEBUG, 1509186270.350654]: Recording frame #27. Delay: 0.03983330726623535
[DEBUG, 1509186270.3557043]: Recording frame #28. Delay: 0.03837466239929199
[DEBUG, 1509186270.3596764]: Recording frame #29. Delay: 0.03567910194396973
[DEBUG, 1509186270.3639328]: Recording frame #30. Delay: 0.03335213661193848
[DEBUG, 1509186270.367709]: Recording frame #31. Delay: 0.017345905303955078
[DEBUG, 1509186270.419827]: Recording frame #32. Delay: 0.029040813446044922
[DEBUG, 1509186270.4251335]: Recording frame #33. Delay: 0.0056307315826416016
[DEBUG, 1509186270.5240302]: Recording frame #34. Delay: 0.06595253944396973
[DEBUG, 1509186270.527947]: Recording frame #35. Delay: 0.0348057746887207
[DEBUG, 1509186270.5322747]: Recording frame #36. Delay: 0.008916378021240234
[DEBUG, 1509186270.6256416]: Recording frame #37. Delay: 0.07260370254516602
[DEBUG, 1509186270.6324773]: Recording frame #38. Delay: 0.03989982604980469
[DEBUG, 1509186270.6394105]: Recording frame #39. Delay: 0.014310359954833984
